tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0010087,movie,The End of the Game,The End of the Game,0,1919,\N,50,Western,5.4,20
tt0010089,movie,L'engrenage,L'engrenage,0,1919,\N,58,Drama,6.9,18
tt0010157,movie,The Gay Lord Quex,The Gay Lord Quex,0,1919,\N,50,Drama,5.0,15
tt0010168,movie,The Girl from Nowhere,Girl from Nowhere,0,1919,\N,50,"Action,Adventure,Drama",5.8,28
tt0010180,movie,Anniversary of the Revolution,Godovshchina revolyutsii,0,1918,\N,119,Documentary,6.8,184
tt0010183,movie,The Golden Shower,The Golden Shower,0,1919,\N,50,Drama,5.4,26
tt0010201,movie,Haceldama ou Le prix du sang,Haceldama ou Le prix du sang,0,1919,\N,75,Western,5.9,60
tt0010206,movie,Hans nåds testamente,Hans nåds testamente,0,1919,\N,75,Comedy,6.6,134
tt0010248,movie,Der Herr der Liebe,Der Herr der Liebe,0,1919,\N,60,"Romance,Thriller",5.7,73
tt0010253,movie,His Bridal Night,His Bridal Night,0,1919,\N,50,"Comedy,Romance",7.6,15
tt0010255,movie,"His Majesty, the American","His Majesty, the American",0,1919,\N,115,"Adventure,Comedy,Romance",6.1,118
tt0010281,movie,I Don't Want to Be a Man,Ich möchte kein Mann sein,0,1918,\N,45,"Comedy,Romance",6.8,1733
tt0010389,movie,The Lottery Man,The Lottery Man,0,1919,\N,50,"Comedy,Romance",5.2,15
tt0010507,movie,The New Moon,The New Moon,0,1919,\N,60,Drama,6.7,17
tt0010515,movie,The Oakdale Affair,The Oakdale Affair,0,1919,\N,50,Adventure,6.0,18
tt0010532,movie,Open Your Eyes,Open Your Eyes,0,1919,\N,70,Drama,6.6,26
tt0010544,movie,The Outcasts of Poker Flat,The Outcasts of Poker Flat,0,1919,\N,60,"Drama,Western",4.2,73
tt0010565,movie,The Phantom Honeymoon,The Phantom Honeymoon,0,1919,\N,62,"Drama,Horror,Romance",6.0,34
tt0010613,movie,The Rebellious Bride,The Rebellious Bride,0,1919,\N,50,Comedy,6.2,12
tt0010621,movie,A Regular Girl,A Regular Girl,0,1919,\N,50,Comedy,5.6,13
tt0010629,movie,Riders of Vengeance,Riders of Vengeance,0,1919,\N,60,Western,3.6,55
tt0010767,movie,Die Teufelskirche,Die Teufelskirche,0,1919,\N,47,Horror,6.6,78
tt0010781,movie,The Tiger's Trail,The Tiger's Trail,0,1919,\N,300,"Action,Adventure,Drama",3.1,26
tt0010806,movie,True Heart Susie,True Heart Susie,0,1919,\N,87,"Comedy,Drama,Romance",6.9,2076
tt0010835,movie,The Valley of the Giants,The Valley of the Giants,0,1919,\N,50,"Drama,Romance",6.6,53
tt0010871,movie,When Bearcat Went Dry,When Bearcat Went Dry,0,1919,\N,57,Drama,4.6,41
tt0010872,movie,When Doctors Disagree,When Doctors Disagree,0,1919,\N,50,Comedy,6.8,12
tt0010915,movie,The Woman Under Oath,The Woman Under Oath,0,1919,\N,61,Mystery,6.5,28
tt0011011,movie,Boccaccio,Boccaccio,0,1920,\N,\N,Drama,4.6,27
tt0011024,movie,The Breaking of the Drought,The Breaking of the Drought,0,1920,\N,87,\N,5.3,30
tt0011031,movie,The Hunchback and the Dancer,Der Bucklige und die Tänzerin,0,1920,\N,50,Horror,6.0,91
tt0011036,movie,Bullet Proof,Bullet Proof,0,1920,\N,50,"Action,Crime,Western",6.8,25
tt0011078,movie,The Cradle of Courage,The Cradle of Courage,0,1920,\N,50,"Adventure,Drama,War",5.9,98
tt0011091,movie,Dangerous Days,Dangerous Days,0,1920,\N,70,Drama,6.3,26
tt0011098,movie,Dead Men Tell No Tales,Dead Men Tell No Tales,0,1920,\N,70,Adventure,7.2,19
tt0011102,movie,The Deep Purple,The Deep Purple,0,1920,\N,60,"Crime,Drama",4.0,18
tt0011179,movie,Os Fidalgos da Casa Mourisca,Os Fidalgos da Casa Mourisca,0,1921,\N,206,Drama,8.0,7
tt0011234,movie,Go and Get It,Go and Get It,0,1920,\N,70,"Comedy,Drama,Horror",5.2,59
tt0011243,movie,The Great London Mystery,The Great London Mystery,0,1920,\N,\N,"Crime,Horror,Mystery",5.6,19
tt0011288,movie,Her Husband's Friend,Her Husband's Friend,0,1920,\N,50,Drama,5.0,15
tt0011324,movie,The Idol Dancer,The Idol Dancer,0,1920,\N,92,Drama,5.1,155
tt0011344,movie,The Jack-Knife Man,The Jack-Knife Man,0,1920,\N,60,Drama,6.6,205
tt0011362,movie,Karin Ingmarsdotter,Karin Ingmarsdotter,0,1920,\N,115,Drama,6.3,216
tt0011394,movie,Leather Stocking: The Last of the Mohicans,"Lederstrumpf, 2. Teil: Der Letzte der Mohikaner",0,1920,\N,\N,Adventure,6.7,57
tt0011404,movie,Little Dorrit,Little Dorrit,0,1920,\N,\N,Drama,5.2,11
tt0011462,movie,Midsummer Madness,Midsummer Madness,0,1920,\N,60,Drama,7.4,20
